Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
78,805257,J. Choate,Jack Choate,Choate,Jack,P,Richmond Flying Squirrels,RIC,3410,Richmond,aax,SF,Richmond Flying Squirrels,RIC,3410,Richmond,AAX,SF,L,L,23.3,25,82,60,296.1,5046,1271,3.4%,89.7,90.7,14.9,6.80,28.5%,9.6%,62.3%,48.5%,16.7%,60.6%,55.4%,23.00%,57.89%,30.4%,32.2%,24.2%,27.6%,67.8%,13.8%,.274,.291,50.56,.010
79,694680,T. Martin,Trevor Martin,Martin,Trevor,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,23.8,25,99,49,296.0,4873,1248,57.1%,92.2,93.6,19.9,6.38,27.0%,8.4%,63.7%,52.7%,14.2%,60.7%,60.0%,21.76%,56.45%,30.1%,29.4%,23.0%,25.6%,70.6%,15.4%,.278,.299,45.17,.009
80,687239,B. Peoples,Ben Peoples,Peoples,Ben,P,Charlotte Knights,CLT,494,Charlotte,aaa,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,L,R,23.1,24,111,57,294.1,4886,1233,63.1%,94.1,95.8,18.8,6.45,26.9%,11.5%,63.1%,49.7%,16.9%,63.0%,59.8%,21.79%,54.67%,29.0%,31.3%,23.4%,27.1%,68.7%,12.2%,.271,.291,66.85,.014
81,691641,J. Acuna,Jose Acuna,Acuna,Jose,P,Chattanooga Lookouts,CHA,498,Chattanooga,aax,CIN,Chattanooga Lookouts,CHA,498,Chattanooga,AAX,CIN,R,R,21.3,23,74,63,293.0,4767,1233,26.1%,92.3,93.5,18.2,6.15,25.0%,10.3%,64.1%,51.0%,15.4%,62.0%,60.2%,21.35%,49.33%,28.8%,29.0%,24.0%,26.1%,71.0%,15.5%,.291,.297,43.76,.009
81,806190,I. Coffey,Isaac Coffey,Coffey,Isaac,P,Worcester Red Sox,WOR,533,Worcester,aaa,BOS,Portland Sea Dogs,POR,546,Portland,AAX,BOS,R,R,24.0,25,71,58,293.0,5020,1275,0.1%,85.4,89.6,12.2,6.06,28.7%,9.6%,62.4%,49.4%,18.4%,59.4%,57.8%,25.53%,56.77%,30.9%,29.8%,24.8%,25.0%,70.2%,15.6%,.302,.319,13.61,.003
83,681463,D. Lloyd,Daniel Lloyd,Lloyd,Daniel,P,Chesapeake Baysox,CHE,418,Chesapeake,aax,BAL,Chesapeake Baysox,CHE,418,Chesapeake,AAX,BAL,R,R,23.6,25,114,25,292.1,4787,1270,35.0%,93.1,94.0,16.7,6.15,22.6%,9.4%,63.4%,52.2%,15.3%,60.7%,61.4%,20.93%,47.53%,27.3%,26.4%,19.3%,25.3%,73.6%,16.3%,.292,.317,43.06,.009
84,691711,J. Ramírez,Jawilme Ramírez,Ramírez,Jawilme,P,Peoria Chiefs,PEO,443,Peoria,afa,STL,Peoria Chiefs,PEO,443,Peoria,AFA,STL,R,R,22.6,24,111,24,291.2,4644,1234,54.1%,92.4,93.6,20.9,6.42,19.5%,9.0%,64.7%,50.0%,15.9%,63.7%,63.7%,16.56%,42.95%,25.9%,23.8%,17.5%,28.9%,76.2%,15.2%,.287,.304,51.44,.011
85,689149,C. Dallas,Chad Dallas,Dallas,Chad,P,Buffalo Bisons,BUF,422,Buffalo,aaa,TOR,Buffalo Bisons,BUF,422,Buffalo,AAA,TOR,R,R,23.1,25,64,64,291.1,4834,1275,31.4%,92.8,93.3,16.8,6.06,23.9%,10.0%,63.1%,50.1%,14.5%,60.0%,58.0%,21.14%,50.20%,29.4%,26.4%,15.3%,27.7%,73.6%,15.5%,.294,.319,39.20,.008
86,692262,R. Gutierrez,Roque Gutierrez,Gutierrez,Roque,P,Tulsa Drillers,TUL,260,Tulsa,aax,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,R,R,21.5,23,100,26,289.0,4811,1271,42.1%,92.8,94.0,20.2,5.42,25.7%,8.9%,64.6%,50.6%,15.9%,62.1%,62.8%,23.74%,51.06%,29.9%,30.5%,22.4%,29.2%,69.5%,16.7%,.317,.334,13.69,.003
87,800017,J. Montero,Jose Montero,Montero,Jose,P,Chattanooga Lookouts,CHA,498,Chattanooga,aax,CIN,Chattanooga Lookouts,CHA,498,Chattanooga,AAX,CIN,R,R,20.9,22,76,56,288.1,4540,1246,16.5%,93.1,94.1,14.6,5.87,22.1%,9.2%,62.1%,47.5%,18.7%,59.7%,60.3%,22.26%,51.72%,28.7%,29.7%,18.8%,28.5%,70.3%,13.2%,.285,.316,45.71,.010
88,686946,J. Dicochea,Jose Dicochea,Dicochea,Jose,P,Lansing Lugnuts,LAN,499,Lansing,afa,ATH,Lansing Lugnuts,LAN,499,Lansing,AFA,ATH,R,R,23.3,25,82,52,286.1,5078,1285,53.2%,92.6,93.9,21.4,5.96,23.3%,12.7%,60.4%,48.0%,16.7%,54.9%,56.6%,22.41%,49.78%,27.6%,27.4%,21.2%,25.3%,72.6%,14.6%,.311,.326,21.87,.004
89,694207,B. Mendoza,Brayan Mendoza,Mendoza,Brayan,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,L,L,20.3,22,82,40,285.2,4755,1232,31.9%,92.1,93.1,16.5,5.61,23.8%,9.9%,62.9%,48.6%,17.0%,59.6%,58.1%,21.87%,49.08%,29.2%,28.0%,20.4%,26.4%,72.0%,10.5%,.276,.299,53.33,.011
90,800324,L. Cohen,Luis Cohen,Cohen,Luis,P,Greenville Drive,GVL,428,Greenville,afa,BOS,Greenville Drive,GVL,428,Greenville,AFA,BOS,R,R,21.0,22,72,58,285.1,4073,1187,40.1%,92.8,94.2,17.5,6.54,19.7%,8.5%,64.0%,49.5%,17.2%,61.5%,63.8%,17.25%,50.38%,27.1%,27.1%,20.0%,24.4%,72.9%,15.8%,.274,.293,50.96,.013
91,696522,H. Juenger,Hayden Juenger,Juenger,Hayden,P,Buffalo Bisons,BUF,422,Buffalo,aaa,TOR,Buffalo Bisons,BUF,422,Buffalo,AAA,TOR,R,R,23.5,25,189,26,282.2,5017,1222,46.2%,94.3,95.2,17.6,5.63,25.0%,10.6%,62.1%,49.0%,16.1%,59.7%,58.6%,19.79%,50.10%,27.8%,26.7%,19.7%,26.3%,73.3%,17.1%,.308,.327,28.13,.006
92,802105,Y. Santos,Yeriel Santos,Santos,Yeriel,P,Asheville Tourists,ASH,573,Asheville,afa,HOU,Asheville Tourists,ASH,573,Asheville,AFA,HOU,R,R,20.6,22,76,43,281.2,4832,1262,38.1%,92.5,93.7,18.8,5.86,22.3%,13.9%,58.4%,43.2%,21.4%,57.4%,54.7%,22.53%,56.31%,27.3%,29.3%,18.9%,26.2%,70.7%,14.5%,.300,.320,22.58,.005
93,814804,G. Rogers,Grant Rogers,Rogers,Grant,P,Buffalo Bisons,BUF,422,Buffalo,aaa,TOR,Buffalo Bisons,BUF,422,Buffalo,AAA,TOR,R,R,23.8,24,54,53,281.1,4406,1188,9.3%,91.9,92.6,12.2,6.28,19.5%,6.2%,66.1%,55.0%,14.1%,64.5%,65.2%,19.23%,41.97%,27.9%,20.7%,15.2%,27.0%,79.3%,15.1%,.277,.300,55.12,.013
94,683720,E. Jimenez,Edwin Jimenez,Jimenez,Edwin,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Biloxi Shuckers,BLX,5015,Biloxi,AAX,MIL,R,R,21.4,24,61,39,280.2,4291,1186,35.0%,91.1,92.1,18.5,5.96,22.0%,7.3%,65.2%,47.9%,15.7%,65.0%,61.7%,21.16%,48.16%,27.5%,25.9%,16.7%,32.2%,74.1%,15.2%,.305,.322,15.28,.004
94,692623,L. Garcia,Leonard Garcia,Garcia,Leonard,P,Rocket City Trash Pandas,RCT,559,Rocket City,aax,LAA,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAA,L,L,20.8,22,118,27,280.2,4922,1264,43.2%,91.4,93.4,17.6,6.04,25.1%,11.5%,62.6%,48.3%,18.9%,63.2%,61.3%,20.79%,52.85%,29.0%,28.8%,22.9%,26.6%,71.2%,15.6%,.313,.334,18.71,.004
96,805363,C. Clark,Chris Clark,Clark,Chris,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Montgomery Biscuits,MTG,421,Montgomery,AAX,TB,R,R,23.4,24,61,55,280.1,4832,1234,4.2%,92.9,93.5,14.7,5.76,23.3%,9.2%,61.2%,49.0%,19.8%,59.6%,57.4%,20.89%,51.80%,27.7%,28.2%,19.8%,25.4%,71.8%,17.3%,.308,.334,14.93,.003
97,686544,N. Lorant,Nestor Lorant,Lorant,Nestor,P,Dayton Dragons,DAY,459,Dayton,afa,CIN,Dayton Dragons,DAY,459,Dayton,AFA,CIN,R,R,22.1,23,77,42,279.1,4575,1199,39.7%,89.9,90.9,20.7,6.14,25.7%,9.3%,64.3%,49.9%,15.4%,61.5%,60.6%,23.20%,48.68%,31.3%,31.8%,25.4%,28.5%,68.2%,15.2%,.282,.310,53.06,.012
98,696150,E. Silva,Eric Silva,Silva,Eric,P,Erie SeaWolves,ERI,106,Erie,aax,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,R,R,21.2,23,108,49,278.2,4604,1204,40.4%,93.0,94.1,19.3,6.13,24.2%,10.1%,63.2%,48.8%,17.1%,60.8%,57.3%,21.36%,50.71%,29.8%,28.5%,20.0%,27.2%,71.5%,14.0%,.282,.325,39.73,.009
99,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Montgomery Biscuits,MTG,421,Montgomery,AAX,TB,R,R,19.2,21,65,58,278.1,4027,1117,55.0%,94.1,95.6,19.9,6.58,25.2%,4.7%,69.3%,54.5%,10.8%,67.7%,67.7%,22.32%,53.04%,29.4%,26.1%,19.6%,32.2%,73.9%,15.3%,.261,.280,59.39,.015
100,686560,G. Collyer,Gavin Collyer,Collyer,Gavin,P,Texas Rangers,TEX,140,Texas,mlb,TEX,Round Rock Express,RR,102,Round Rock,AAA,TEX,R,R,23.0,24,153,28,277.2,4985,1255,31.5%,94.4,96.5,16.0,5.65,28.3%,12.3%,61.7%,49.4%,19.0%,58.4%,60.6%,25.74%,56.63%,30.7%,29.9%,21.7%,24.9%,70.1%,14.5%,.298,.323,30.49,.006
