Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
249,823898,E. Melendez,Edwardo Melendez,Melendez,Edwardo,P,Myrtle Beach Pelicans,MB,521,Myrtle Beach,afx,CHC,Myrtle Beach Pelicans,MB,521,Myrtle Beach,AFX,CHC,R,R,21.4,22,18,8,61.0,1108,282,30.2%,92.1,92.8,15.0,5.25,22.3%,19.1%,58.4%,42.3%,22.4%,56.7%,56.4%,21.83%,50.00%,30.0%,31.7%,16.9%,28.5%,68.3%,10.2%,.316,.337,7.10,.006
249,822463,N. Sparks,Nolan Sparks,Sparks,Nolan,P,Peoria Chiefs,PEO,443,Peoria,afa,STL,Palm Beach Cardinals,PMB,279,Palm Beach,AFX,STL,R,R,22.9,23,18,12,72.1,1257,323,25.1%,93.1,94.2,18.7,6.30,24.1%,14.2%,57.8%,45.9%,23.9%,59.1%,56.4%,22.41%,58.10%,26.7%,27.6%,19.4%,22.8%,72.4%,13.9%,.292,.318,6.86,.005
249,803516,J. King,Johnny King,King,Johnny,P,Vancouver Canadians,VAN,435,Vancouver,afa,TOR,Dunedin Blue Jays,DUN,424,Dunedin,AFX,TOR,L,L,18.9,19,18,15,61.2,1081,266,51.0%,93.8,94.9,18.9,6.38,39.5%,13.9%,60.5%,44.2%,21.0%,54.5%,60.6%,35.16%,69.11%,34.4%,39.7%,29.9%,27.6%,60.3%,13.9%,.255,.296,11.86,.011
249,807281,T. Gregory-Alford,Trey Gregory-Alford,Gregory-Alford,Trey,P,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,afx,LAA,Inland Empire 66ers,IE,401,Inland Empire,AFX,LAA,R,R,19.2,19,18,16,78.2,1225,329,47.1%,97.2,98.6,14.1,5.63,20.7%,10.0%,60.8%,48.4%,17.8%,61.4%,60.1%,21.84%,55.10%,26.4%,25.9%,17.8%,24.0%,74.1%,11.0%,.300,.287,4.95,.004
249,827603,J. Voelker,Jayden Voelker,Voelker,Jayden,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,L,R,22.4,23,18,14,68.2,1142,299,46.9%,91.4,92.5,20.2,6.38,18.1%,10.0%,62.5%,49.3%,17.2%,62.2%,57.1%,15.88%,42.86%,26.2%,24.7%,18.8%,26.2%,75.3%,17.0%,.312,.337,5.30,.005
249,828520,T. Palmer,Twine Palmer,Palmer,Twine,P,Frederick Keys,FRE,493,Frederick,afa,BAL,Delmarva Shorebirds,DEL,548,Delmarva,AFX,BAL,R,R,20.8,21,18,13,62.0,1041,273,44.0%,91.2,92.3,21.0,6.63,23.4%,12.1%,61.1%,50.7%,18.1%,61.9%,55.1%,24.83%,48.54%,29.9%,31.3%,23.3%,24.1%,68.7%,13.5%,.281,.288,12.87,.012
249,807748,K. Kemp,Kannon Kemp,Kemp,Kannon,P,,,,,,,Lake Elsinore Storm,LE,103,Lake Elsinore,AFX,SD,R,R,20.8,21,18,10,77.2,1266,350,52.9%,94.3,95.7,14.6,6.00,18.3%,9.1%,63.0%,50.6%,15.2%,60.6%,61.3%,20.99%,48.72%,25.1%,22.8%,15.6%,24.7%,77.2%,16.3%,.320,.339,0.99,.001
249,809789,P. Smith,Parker Smith,Smith,Parker,P,Asheville Tourists,ASH,573,Asheville,afa,HOU,Fayetteville Woodpeckers,FAY,3712,Fayetteville,AFX,HOU,R,R,22.3,23,18,14,68.1,1094,291,2.3%,93.1,93.4,12.3,6.64,21.6%,10.3%,63.1%,49.2%,15.2%,61.9%,62.0%,20.92%,52.00%,29.3%,29.0%,20.2%,28.6%,71.0%,9.1%,.276,.292,14.26,.013
274,702273,N. Schultz,Noah Schultz,Schultz,Noah,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,L,L,21.9,22,17,17,73.0,1291,327,10.4%,92.7,95.7,12.7,6.23,23.2%,13.8%,62.7%,51.8%,15.5%,60.9%,60.3%,18.03%,46.81%,30.4%,29.1%,21.4%,26.6%,70.9%,14.9%,.320,.354,8.55,.007
274,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,R,R,20.7,21,17,17,67.1,1009,273,37.8%,93.6,94.9,17.8,6.39,29.7%,5.9%,67.1%,52.6%,13.3%,68.9%,67.2%,23.03%,57.85%,34.2%,36.3%,30.8%,29.8%,63.7%,17.5%,.289,.275,8.85,.009
274,805694,J. Bello,Juan Bello,Bello,Juan,P,,,,,,,Asheville Tourists,ASH,573,Asheville,AFA,HOU,R,R,21.2,22,17,9,65.2,1072,287,32.2%,90.8,91.5,17.3,6.56,23.0%,11.5%,62.9%,48.4%,16.5%,65.2%,64.7%,21.51%,48.08%,29.8%,28.6%,18.6%,28.8%,71.4%,15.0%,.304,.296,6.72,.006
274,691733,C. Little,Christian Little,Little,Christian,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Everett AquaSox,EVE,403,Everett,AFA,SEA,R,R,22.0,22,17,17,70.2,1153,293,45.6%,94.0,95.2,21.2,5.36,24.9%,10.9%,61.1%,48.2%,18.3%,59.7%,55.1%,22.78%,51.49%,27.4%,28.5%,21.8%,28.0%,71.5%,12.4%,.297,.290,6.08,.005
