Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
207,703420,J. Marcheco,Jorge Marcheco,Marcheco,Jorge,P,Lansing Lugnuts,LAN,499,Lansing,afa,ATH,Tri-City Dust Devils,TRI,460,Tri-City,AFA,LAA,R,R,21.9,23,20,19,81.2,1427,364,24.8%,88.5,89.5,18.5,5.84,19.2%,8.5%,62.7%,48.9%,17.5%,56.3%,57.3%,18.43%,45.59%,24.8%,21.6%,20.0%,25.7%,78.4%,19.1%,.317,.336,3.18,.002
226,691828,S. Robberse,Sem Robberse,Robberse,Sem,P,,,,,,,Memphis Redbirds,MEM,235,Memphis,AAA,STL,R,R,22.7,24,19,17,90.1,1439,373,29.3%,91.1,91.4,16.5,6.57,21.4%,7.5%,62.7%,46.2%,17.9%,61.4%,59.7%,19.52%,49.64%,27.9%,27.6%,16.7%,32.3%,72.4%,12.9%,.292,.311,16.96,.012
226,691441,C. Mena,Cristian Mena,Mena,Cristian,P,Arizona Diamondbacks,AZ,109,Arizona,mlb,AZ,Reno Aces,RNO,2310,Reno,AAA,AZ,R,R,21.5,23,19,19,95.2,1649,424,27.6%,93.1,93.8,15.9,6.81,24.1%,10.8%,60.1%,45.2%,21.6%,56.6%,57.7%,25.51%,54.41%,27.7%,29.6%,17.3%,27.9%,70.4%,15.9%,.331,.353,5.13,.003
226,701656,L. Henderson,Logan Henderson,Henderson,Logan,P,Nashville Sounds,NAS,556,Nashville,aaa,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,22.3,24,19,19,81.1,1247,317,45.7%,92.5,93.4,19.8,5.91,32.8%,4.7%,67.0%,53.6%,13.1%,68.8%,66.8%,25.56%,59.60%,33.0%,32.4%,24.7%,31.8%,67.6%,14.4%,.251,.268,16.42,.013
226,694462,H. Waldrep,Hurston Waldrep,Waldrep,Hurston,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,22.3,24,19,19,93.1,1521,410,35.1%,94.3,94.9,15.4,6.42,23.7%,11.0%,61.2%,47.4%,19.7%,59.3%,63.7%,23.11%,57.25%,28.5%,31.5%,21.5%,27.3%,68.5%,17.9%,.305,.308,6.72,.004
226,695648,M. Ottenbreit,Micah Ottenbreit,Ottenbreit,Micah,P,,,,,,,Clearwater Threshers,CLR,566,Clearwater,AFX,PHI,R,R,21.2,22,19,19,94.0,1511,410,0.7%,91.4,93.0,13.9,6.00,24.1%,10.0%,61.4%,45.1%,21.4%,63.2%,57.8%,24.87%,55.13%,28.9%,23.2%,12.9%,24.7%,76.8%,20.1%,.269,.316,21.06,.014
226,800019,B. Romero,Brayan Romero,Romero,Brayan,P,,,,,,,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,R,R,22.5,24,19,16,68.2,1025,284,24.6%,94.1,95.0,13.2,5.76,18.3%,6.3%,61.3%,44.8%,20.7%,62.7%,59.6%,18.88%,50.00%,24.5%,25.3%,18.4%,28.4%,74.7%,10.9%,.245,.279,15.69,.015
226,800544,C. Lares,Cesar Lares,Lares,Cesar,P,,,,,,,Fort Myers Mighty Mussels,FTM,509,Fort Myers,AFX,MIN,L,L,21.0,22,19,19,81.0,1384,375,32.1%,91.0,92.0,15.2,6.13,20.5%,7.5%,62.2%,46.4%,21.2%,54.7%,54.4%,21.11%,43.07%,27.7%,25.1%,16.7%,26.4%,74.9%,16.3%,.319,.341,5.92,.004
226,800320,L. Sequera,Leonel Sequera,Sequera,Leonel,P,Peoria Chiefs,PEO,443,Peoria,afa,STL,Palm Beach Cardinals,PMB,279,Palm Beach,AFX,STL,R,R,18.9,20,19,18,79.0,1153,344,38.8%,92.3,93.3,15.9,6.55,19.8%,8.1%,63.1%,47.5%,17.7%,59.6%,62.0%,23.66%,54.29%,29.1%,26.7%,14.3%,26.9%,73.3%,10.4%,.274,.302,10.41,.009
226,800260,A. Flores,Anthony Flores,Flores,Anthony,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,L,L,19.7,21,19,7,69.2,1141,311,26.2%,87.5,88.4,10.7,5.50,27.3%,8.7%,66.1%,50.9%,18.4%,61.1%,60.6%,25.33%,53.73%,33.4%,30.5%,18.5%,29.2%,69.5%,14.4%,.282,.320,12.10,.011
